Name,State,Candidate,Party,Votes
Andaman & Nicobar Islands,Andaman and Nicobar Islands,Bishnu Pada Ray,BJP,90969
Araku,Andhra Pradesh,Kothapalli Geetha,YSRC,413191
Srikakulam,Andhra Pradesh,Rammohan Naidu Kinjarapu,TDP,556163
Vizianagaram,Andhra Pradesh,Ashok Gajapathi Raju Pusapati,TDP,536549
Visakhapatnam,Andhra Pradesh,Kambhampati Hari Babu,BJP,566832
Anakapalli,Andhra Pradesh,Muttamsetti Srinivasa Rao (Avanthi),TDP,568463
Kakinada,Andhra Pradesh,Thota Narasimham,TDP,514402
Amalapuram,Andhra Pradesh,Dr Pandula Ravindra Babu,TDP,594547
Rajahmundry,Andhra Pradesh,Murali Mohan Maganti,TDP,630573
Narsapuram,Andhra Pradesh,Gokaraju Ganga Raju,BJP,540306
Eluru,Andhra Pradesh,Maganti Venkateswara Rao (Babu),TDP,623471
Machilipatnam,Andhra Pradesh,Konakalla Narayana Rao,TDP,587280
Vijayawada,Andhra Pradesh,Kesineni Srinivas,TDP,592696
Guntur,Andhra Pradesh,Jayadev Galla,TDP,618417
Narasaraopet,Andhra Pradesh,Sambasiva Rao Rayapati,TDP,632464
Bapatla,Andhra Pradesh,Malyadri Sriram,TDP,578145
Ongole,Andhra Pradesh,Y. V. Subba Reddy,YSRC,589960
Nandyal,Andhra Pradesh,S.P.Y Reddy,YSRC,622411
Kurnool,Andhra Pradesh,Butta Renuka,YSRC,472782
Anantapur,Andhra Pradesh,J.C. Divakar Reddi,TDP,606509
Hindupur,Andhra Pradesh,Kristappa Nimmala,TDP,604291
Kadapa,Andhra Pradesh,Y.S. Avinash Reddy,YSRC,671983
Nellore,Andhra Pradesh,Mekapati Rajamohan Reddy,YSRC,576396
Tirupati,Andhra Pradesh,Varaprasad Rao Velagapalli,YSRC,580376
Rajampet,Andhra Pradesh,P. V. Midhun Reddy,YSRC,601752
Chittoor,Andhra Pradesh,Naramalli Sivaprasad,TDP,594862
Arunachal West,Arunachal Pradesh,Kiren Rijiju,BJP,169367
Arunachal East,Arunachal Pradesh,Ninong Ering,INC,118455
Karimganj,Assam,Radheshyam Biswas,AUDF,362866
Silchar,Assam,Sushmita Dev,INC,336451
Autonomous District,Assam,Biren Singh Engti,INC,213152
Dhubri,Assam,Badruddin Ajmal,AUDF,592569
Kokrajhar,Assam,Naba Kumar Sarania (Hira),IND,634428
Barpeta,Assam,Siraj Uddin Ajmal,AUDF,394702
Gauhati,Assam,Smt. Bijoya Chakraborty,BJP,764985
Mangaldoi,Assam,Ramen Deka,BJP,486357
Tezpur,Assam,Ram Prasad Sarmah,BJP,446511
Nawgong,Assam,Rajen Gohain,BJP,494146
Kaliabor,Assam,Gourav Gogoi,INC,443315
Jorhat,Assam,Kamakhya Prasad Tasa,BJP,456420
Dibrugarh,Assam,Rameswar Teli,BJP,494364
Lakhimpur,Assam,Sarbananda Sonowal,BJP,612543
Valmiki Nagar,Bihar,Satish Chandra Dubey,BJP,364011
Paschim Champaran,Bihar,Dr. Sanjay Jaiswal,BJP,371232
Purvi Champaran,Bihar,Radha Mohan Singh,BJP,400452
Sheohar,Bihar,Rama Devi,BJP,372506
Sitamarhi,Bihar,Ram Kumar Sharma,RLSP,411265
Madhubani,Bihar,Hukm Deo Narayan Yadav,BJP,358040
Jhanjharpur,Bihar,Birendra Kumar Chaudhary,BJP,335481
Supaul,Bihar,Ranjeet Ranjan,INC,332927
Araria,Bihar,Tasleem Uddin,RJD,407978
Kishanganj,Bihar,Mohammad Asrarul Haque,INC,493461
Katihar,Bihar,Tariq Anwar,NCP,431292
Purnia,Bihar,Santosh Kumar,JD(U),418826
Madhepura,Bihar,Rajesh Ranjan (Pappu Yadav),RJD,368937
Darbhanga,Bihar,Kirti Azad,BJP,314949
Muzaffarpur,Bihar,Ajay Nishad,BJP,469295
Vaishali,Bihar,Rama Kishore Singh,LJP,305450
Gopalganj,Bihar,Janak Ram,BJP,478773
Siwan,Bihar,Om Prakash Yadav,BJP,372670
Maharajganj,Bihar,Janardan Singh (Sigriwal),BJP,320753
Saran,Bihar,Rajiv Pratap Rudy,BJP,355120
Hajipur,Bihar,Ramvilas Paswan,LJP,455652
Ujiarpur,Bihar,Nityanand Rai,BJP,317352
Samastipur,Bihar,Ram Chandra Paswan,LJP,270401
Begusarai,Bihar,Bhola Singh,BJP,428227
Khagaria,Bihar,Choudhary Mahboob Ali Kaiser,LJP,313806
Bhagalpur,Bihar,Shailesh Kumar Urph Bulo Mandal,RJD,367623
Banka,Bihar,Jai Prakash Narayan Yadav,RJD,285150
Munger,Bihar,Veena Devi,LJP,352911
Nalanda,Bihar,Kaushlendra Kumar,JD(U),321982
Patna Sahib,Bihar,Shatrughana Sinha,BJP,485905
Pataliputra,Bihar,Ram Kripal Yadav,BJP,383262
Arrah,Bihar,Raj Kumar Singh,BJP,391074
Buxar,Bihar,Ashwini Kumar Choubey,BJP,319012
Sasaram,Bihar,Chhedi Paswan,BJP,366087
Karakat,Bihar,Upendra Kushwaha,RLSP,338892
Jahanabad,Bihar,Dr. Arun Kumar,RLSP,322647
Aurangabad,Bihar,Sushil Kumar Singh,BJP,307941
Gaya,Bihar,Hari Manjhi,BJP,326230
Nawada,Bihar,Giriraj Singh,BJP,390248
Jamui,Bihar,Chirag Kumar Paswan,LJP,285354
Chandigarh,Chandigarh,Smt. Kirron Kher Anupam,BJP,191362
Surguja,Chhattisgarh,Kamalbhan Singh Marabi,BJP,585336
Raigarh,Chhattisgarh,Vishnu Deo Sai,BJP,662478
Janjgir-Champa,Chhattisgarh,Smt. Kamla Patle,BJP,518909
Korba,Chhattisgarh,Dr. Banshilal Mahto,BJP,439002
Bilaspur,Chhattisgarh,Lakhan Lal Sahu,BJP,561387
Rajnandgaon,Chhattisgarh,Abhishek Singh,BJP,643473
Durg,Chhattisgarh,Tamradhwaj Sahu,INC,570687
Raipur,Chhattisgarh,Ramesh Bais,BJP,654922
Mahasamund,Chhattisgarh,Chandu Lal Sahu (Chandu Bhaiya),BJP,503514
Bastar,Chhattisgarh,Dinesh Kashyap,BJP,385829
Kanker,Chhattisgarh,Vikram Dev Usendi,BJP,465215
Dadra And Nagar Haveli,Dadra and Nagar Haveli,Patel Natubhai Gomanbhai,BJP,80790
Daman And Diu,Daman and Diu,Patel Lalubhai Babubhai,BJP,46960
Chandni Chowk,Delhi,Dr. Harsh Vardhan,BJP,437938
North East Delhi,Delhi,Manoj Tiwari,BJP,596125
East Delhi,Delhi,Maheish Girri,BJP,572202
New Delhi,Delhi,Smt. Meenakshi Lekhi,BJP,453350
North West Delhi,Delhi,Udit Raj,BJP,629860
West Delhi,Delhi,Parvesh Sahib Singh Verma,BJP,651395
South Delhi,Delhi,Ramesh Bidhuri,BJP,497980
North Goa,Goa,Shripad Yesso Naik,BJP,237903
South Goa,Goa,Adv. Narendra Keshav Sawaikar,BJP,198776
Kutch,Gujarat,Chavda Vinod Lakhamashi,BJP,562855
Banaskantha,Gujarat,Chaudhary Haribhai Parthibhai,BJP,507856
Patan,Gujarat,Liladharbhai Khodaji Vaghela,BJP,518538
Mehsana,Gujarat,Patel Jayshreeben Kanubhai,BJP,580250
Sabarkantha,Gujarat,Rathod Dipsinh Shankarsinh,BJP,552205
Gandhinagar,Gujarat,L.K.Advani,BJP,773539
Ahmedabad East,Gujarat,Paresh Rawal,BJP,633582
Ahmedabad West,Gujarat,Dr. Kirit P Solanki,BJP,617104
Surendranagar,Gujarat,Fatepara Devajibhai Govindbhai,BJP,529003
Rajkot,Gujarat,Kundariya Mohanbhai Kalyanjibhai,BJP,621524
Porbandar,Gujarat,Radadiya Vithalbhai Hansrajbhai,BJP,508437
Jamnagar,Gujarat,Poonamben Hematbhai Maadam,BJP,484412
